"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"+12V";"";"MA04-15.08";"MA04-1_5MM";"PIN HEADER";"ED2699-ND / ED2910-ND ";"";"";"";"";"";
"ANT";"ANTENNA";"ANTENNA";"ANTENNA";"Antenna";"712-1010-1-ND";"";"";"";"";"";
"BAL";"BALUNBALUN";"BALUNBALUN";"BALUN";"Balun";"712-1581-1-ND";"";"";"";"";"";
"BED";"";"MA04-12.54";"MA04-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";
"C1";"2.2n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C1_M1";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C1_M2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C1_M3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C1_M4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C1_REG";"560u";"TANTULUM";"TANTULUM";"Tantulum Capacitor";"565-4300-1-ND / 565-4301-1-ND ";"";"";"";"";"";
"C2_M1";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C2_M2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C2_M3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C2_M4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C2_REG";"390u";"TANTULUM";"TANTULUM";"Tantulum Capacitor";"565-4300-1-ND / 565-4301-1-ND ";"";"";"";"";"";
"C3_M1";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C3_M2";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C3_M3";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C3_M4";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C3_REG";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C4_M1";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C4_M2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C4_M3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C4_M4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C4_REG";"10n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C5_M1";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C5_M2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C5_M3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C5_M4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C5_REG";"2.2u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C6_M1";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C6_M2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C6_M3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C6_M4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C7_M1";"470n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C7_M2";"470n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C7_M3";"470n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C7_M4";"470n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C8_M1";"4.7u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C8_M2";"4.7u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C8_M3";"4.7u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C8_M4";"4.7u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C9";"12p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C10";"47n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C11";"12p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C12";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C13";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C14";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C15";"1n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"CFG1_E";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"CFG2_E";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"CHG1_X";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"CHG1_Y";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"CHG1_Z";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
